#Bulk Export - Points every 1 day(s),,
,,08364000
,,"Rio Grande At El Paso, Texas"
,,Discharge.Best Available
Start of Interval (UTC-07:00),End of Interval (UTC-07:00),Average (ft^3/s)
2012-05-16 00:00:00,2012-05-17 00:00:00,37.24
2012-05-17 00:00:00,2012-05-18 00:00:00,34.79
2012-05-18 00:00:00,2012-05-19 00:00:00,34.45
2012-05-19 00:00:00,2012-05-20 00:00:00,33.34
2012-05-20 00:00:00,2012-05-21 00:00:00,31.77
2012-05-21 00:00:00,2012-05-22 00:00:00,31.26
2012-05-22 00:00:00,2012-05-23 00:00:00,30.77
2012-05-23 00:00:00,2012-05-24 00:00:00,30.49
2012-05-24 00:00:00,2012-05-25 00:00:00,28.85
2012-05-25 00:00:00,2012-05-26 00:00:00,26.90
2012-05-26 00:00:00,2012-05-27 00:00:00,26.75
2012-05-27 00:00:00,2012-05-28 00:00:00,25.84
2012-05-28 00:00:00,2012-05-29 00:00:00,25.47
2012-05-29 00:00:00,2012-05-30 00:00:00,24.07
2012-05-30 00:00:00,2012-05-31 00:00:00,23.09
2012-05-31 00:00:00,2012-06-01 00:00:00,21.84
2012-06-01 00:00:00,2012-06-02 00:00:00,21.90
2012-06-02 00:00:00,2012-06-03 00:00:00,57.89
2012-06-03 00:00:00,2012-06-04 00:00:00,58.91
2012-06-04 00:00:00,2012-06-05 00:00:00,56.97
2012-06-05 00:00:00,2012-06-06 00:00:00,58.04
2012-06-06 00:00:00,2012-06-07 00:00:00,111.47
2012-06-07 00:00:00,2012-06-08 00:00:00,225.11
2012-06-08 00:00:00,2012-06-09 00:00:00,328.88
2012-06-09 00:00:00,2012-06-10 00:00:00,332.39
2012-06-10 00:00:00,2012-06-11 00:00:00,363.80
2012-06-11 00:00:00,2012-06-12 00:00:00,504.78
2012-06-12 00:00:00,2012-06-13 00:00:00,641.33
2012-06-13 00:00:00,2012-06-14 00:00:00,760.85
2012-06-14 00:00:00,2012-06-15 00:00:00,717.16
2012-06-15 00:00:00,2012-06-16 00:00:00,634.17
2012-06-16 00:00:00,2012-06-17 00:00:00,495.18
2012-06-17 00:00:00,2012-06-18 00:00:00,537.59
2012-06-18 00:00:00,2012-06-19 00:00:00,527.67
2012-06-19 00:00:00,2012-06-20 00:00:00,521.28
2012-06-20 00:00:00,2012-06-21 00:00:00,472.11
2012-06-21 00:00:00,2012-06-22 00:00:00,483.22
2012-06-22 00:00:00,2012-06-23 00:00:00,482.56
2012-06-23 00:00:00,2012-06-24 00:00:00,440.42
2012-06-24 00:00:00,2012-06-25 00:00:00,450.48
2012-06-25 00:00:00,2012-06-26 00:00:00,411.15
2012-06-26 00:00:00,2012-06-27 00:00:00,432.72
2012-06-27 00:00:00,2012-06-28 00:00:00,405.33
2012-06-28 00:00:00,2012-06-29 00:00:00,459.95
2012-06-29 00:00:00,2012-06-30 00:00:00,447.95
2012-06-30 00:00:00,2012-07-01 00:00:00,349.14
2012-07-01 00:00:00,2012-07-02 00:00:00,373.61
2012-07-02 00:00:00,2012-07-03 00:00:00,425.84
2012-07-03 00:00:00,2012-07-04 00:00:00,430.28
2012-07-04 00:00:00,2012-07-05 00:00:00,478.87
2012-07-05 00:00:00,2012-07-06 00:00:00,494.20
2012-07-06 00:00:00,2012-07-07 00:00:00,491.97
2012-07-07 00:00:00,2012-07-08 00:00:00,509.00
2012-07-08 00:00:00,2012-07-09 00:00:00,517.16
2012-07-09 00:00:00,2012-07-10 00:00:00,626.01
2012-07-10 00:00:00,2012-07-11 00:00:00,499.44
2012-07-11 00:00:00,2012-07-12 00:00:00,450.89
2012-07-12 00:00:00,2012-07-13 00:00:00,480.42
2012-07-13 00:00:00,2012-07-14 00:00:00,376.11
2012-07-14 00:00:00,2012-07-15 00:00:00,330.34
2012-07-15 00:00:00,2012-07-16 00:00:00,297.81
2012-07-16 00:00:00,2012-07-17 00:00:00,304.75
2012-07-17 00:00:00,2012-07-18 00:00:00,321.75
2012-07-18 00:00:00,2012-07-19 00:00:00,351.92
2012-07-19 00:00:00,2012-07-20 00:00:00,485.84
2012-07-20 00:00:00,2012-07-21 00:00:00,566.75
2012-07-21 00:00:00,2012-07-22 00:00:00,498.41
2012-07-22 00:00:00,2012-07-23 00:00:00,480.02
2012-07-23 00:00:00,2012-07-24 00:00:00,494.46
2012-07-24 00:00:00,2012-07-25 00:00:00,492.44
2012-07-25 00:00:00,2012-07-26 00:00:00,571.80
2012-07-26 00:00:00,2012-07-27 00:00:00,642.42
2012-07-27 00:00:00,2012-07-28 00:00:00,593.48
2012-07-28 00:00:00,2012-07-29 00:00:00,597.72
2012-07-29 00:00:00,2012-07-30 00:00:00,583.52
2012-07-30 00:00:00,2012-07-31 00:00:00,574.53
2012-07-31 00:00:00,2012-08-01 00:00:00,536.58
2012-08-01 00:00:00,2012-08-02 00:00:00,546.64
2012-08-02 00:00:00,2012-08-03 00:00:00,578.99
2012-08-03 00:00:00,2012-08-04 00:00:00,613.34
2012-08-04 00:00:00,2012-08-05 00:00:00,520.28
2012-08-05 00:00:00,2012-08-06 00:00:00,472.64
2012-08-06 00:00:00,2012-08-07 00:00:00,446.75
2012-08-07 00:00:00,2012-08-08 00:00:00,408.58
2012-08-08 00:00:00,2012-08-09 00:00:00,449.79
2012-08-09 00:00:00,2012-08-10 00:00:00,495.67
2012-08-10 00:00:00,2012-08-11 00:00:00,505.26
2012-08-11 00:00:00,2012-08-12 00:00:00,446.24
2012-08-12 00:00:00,2012-08-13 00:00:00,468.24
2012-08-13 00:00:00,2012-08-14 00:00:00,569.79
2012-08-14 00:00:00,2012-08-15 00:00:00,539.70
2012-08-15 00:00:00,2012-08-16 00:00:00,551.48
2012-08-16 00:00:00,2012-08-17 00:00:00,543.98
2012-08-17 00:00:00,2012-08-18 00:00:00,712.96
2012-08-18 00:00:00,2012-08-19 00:00:00,688.43
2012-08-19 00:00:00,2012-08-20 00:00:00,666.41
2012-08-20 00:00:00,2012-08-21 00:00:00,630.15
2012-08-21 00:00:00,2012-08-22 00:00:00,697.52
