abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"RIOMILCO","=""09/19/1985 00:00""","111","cfs","","*","=""09/19/1985 23:45""",
"RIOMILCO","=""09/20/1985 00:00""","80.4","cfs","","*","=""09/20/1985 23:45""",
"RIOMILCO","=""09/21/1985 00:00""","80.8","cfs","","*","=""09/21/1985 23:45""",
"RIOMILCO","=""09/22/1985 00:00""","80.7","cfs","","*","=""09/22/1985 23:45""",
"RIOMILCO","=""09/23/1985 00:00""","80.6","cfs","","*","=""09/23/1985 23:45""",
"RIOMILCO","=""09/24/1985 00:00""","70.2","cfs","","*","=""09/24/1985 23:45""",
"RIOMILCO","=""09/25/1985 00:00""","106","cfs","","*","=""09/25/1985 22:00""",
"RIOMILCO","=""09/26/1985 00:00""","216","cfs","","","=""09/26/1985 22:00""",
"RIOMILCO","=""09/27/1985 00:00""","215","cfs","","","=""09/27/1985 22:00""",
"RIOMILCO","=""09/28/1985 00:00""","214","cfs","","","=""09/28/1985 23:45""",
"RIOMILCO","=""09/29/1985 00:00""","213","cfs","","","=""09/29/1985 23:45""",
"RIOMILCO","=""09/30/1985 00:00""","212","cfs","","*","=""09/30/1985 23:45""",
"RIOMILCO","=""10/01/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/02/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/03/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/04/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/05/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/06/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/07/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/08/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/09/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/10/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/11/1985 00:00""","61.7","cfs","","","=""10/11/1985 10:00""",
"RIOMILCO","=""10/12/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/13/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/14/1985 00:00""","","cfs","","","",
"RIOMILCO","=""10/15/1985 00:00""","60.1","cfs","","","=""10/15/1985 22:00""",
"RIOMILCO","=""10/16/1985 00:00""","59.8","cfs","","","=""10/16/1985 22:00""",
"RIOMILCO","=""10/17/1985 00:00""","222","cfs","","*","=""10/17/1985 23:45""",
"RIOMILCO","=""10/18/1985 00:00""","293","cfs","","*","=""10/18/1985 23:45""",
"RIOMILCO","=""10/19/1985 00:00""","216","cfs","","*","=""10/19/1985 23:45""",
"RIOMILCO","=""10/20/1985 00:00""","174","cfs","","*","=""10/20/1985 22:00""",
"RIOMILCO","=""10/21/1985 00:00""","172","cfs","","*","=""10/21/1985 23:45""",
"RIOMILCO","=""10/22/1985 00:00""","171","cfs","","*","=""10/22/1985 23:45""",
"RIOMILCO","=""10/23/1985 00:00""","171","cfs","","*","=""10/23/1985 23:45""",
"RIOMILCO","=""10/24/1985 00:00""","197","cfs","","*","=""10/24/1985 23:45""",
"RIOMILCO","=""10/25/1985 00:00""","246","cfs","","","=""10/25/1985 23:45""",
"RIOMILCO","=""10/26/1985 00:00""","293","cfs","","","=""10/26/1985 23:45""",
"RIOMILCO","=""10/27/1985 00:00""","290","cfs","","","=""10/27/1985 23:45""",
"RIOMILCO","=""10/28/1985 00:00""","304","cfs","","*","=""10/28/1985 23:45""",
"RIOMILCO","=""10/29/1985 00:00""","314","cfs","","","=""10/29/1985 23:45""",
"RIOMILCO","=""10/30/1985 00:00""","234","cfs","","","=""10/30/1985 23:45""",
"RIOMILCO","=""10/31/1985 00:00""","185","cfs","","","=""10/31/1985 23:45""",
"RIOMILCO","=""11/01/1985 00:00""","185","cfs","","","=""11/01/1985 23:45""",
"RIOMILCO","=""11/02/1985 00:00""","184","cfs","","","=""11/02/1985 23:45""",
"RIOMILCO","=""11/03/1985 00:00""","184","cfs","","","=""11/03/1985 23:45""",
"RIOMILCO","=""11/04/1985 00:00""","184","cfs","","","=""11/04/1985 23:45""",
"RIOMILCO","=""11/05/1985 00:00""","88.9","cfs","","","=""11/05/1985 23:45""",
"RIOMILCO","=""11/06/1985 00:00""","113","cfs","","*","=""11/06/1985 23:45""",
"RIOMILCO","=""11/07/1985 00:00""","63","cfs","","","=""11/07/1985 23:45""",
"RIOMILCO","=""11/08/1985 00:00""","191","cfs","","","=""11/08/1985 23:45""",
"RIOMILCO","=""11/09/1985 00:00""","219","cfs","","","=""11/09/1985 23:45""",
"RIOMILCO","=""11/10/1985 00:00""","265","cfs","","","=""11/10/1985 23:45""",
"RIOMILCO","=""11/11/1985 00:00""","255","cfs","","*","=""11/11/1985 23:45""",
"RIOMILCO","=""11/12/1985 00:00""","649","cfs","","","=""11/12/1985 23:45""",
